t ke gpe dissipation
0 0.0127262 0.125147 0.482613
8.75785e-06 0.0127224 0.125147 0.508866
2.81263e-05 0.0127223 0.125147 0.527591
4.79749e-05 0.0127223 0.125147 0.528891
6.82623e-05 0.0127222 0.125147 0.52972
8.89535e-05 0.0127221 0.125147 0.529806
0.000109994 0.0127221 0.125147 0.529921
0.000131367 0.0127221 0.125147 0.529878
0.000153037 0.012722 0.125147 0.529803
0.000174983 0.012722 0.125147 0.529729
0.000197163 0.0127219 0.125147 0.529632
0.000219568 0.0127219 0.125147 0.529539
0.000242185 0.0127218 0.125147 0.529441
0.000264985 0.0127218 0.125147 0.529317
0.000287954 0.0127218 0.125147 0.529229
0.000311077 0.0127217 0.125147 0.529118
0.000334339 0.0127217 0.125147 0.529006
0.000357725 0.0127216 0.125147 0.528913
0.000381235 0.0127216 0.125147 0.528799
0.000404835 0.0127215 0.125147 0.528689
0.000428544 0.0127215 0.125147 0.528585
0.000452326 0.0127215 0.125147 0.528474
0.0004762 0.0127214 0.125147 0.528363
0.00050013 0.0127214 0.125147 0.528257
0.000524134 0.0127213 0.125147 0.528137
0.000548214 0.0127213 0.125147 0.528013
0.000572351 0.0127212 0.125147 0.527888
0.000596544 0.0127212 0.125147 0.527766
0.000620776 0.0127212 0.125147 0.527637
0.000645066 0.0127211 0.125147 0.527501
0.000669394 0.0127211 0.125147 0.52737
0.000693761 0.012721 0.125147 0.52725
0.000718167 0.012721 0.125147 0.527116
0.000742593 0.012721 0.125147 0.526963
0.000767057 0.0127209 0.125147 0.526835
0.000791542 0.0127209 0.125147 0.526704
0.000816046 0.0127208 0.125147 0.52656
0.000840569 0.0127208 0.125147 0.526417
0.000865113 0.0127207 0.125147 0.526272
0.000889676 0.0127207 0.125147 0.526135
0.000914259 0.0127207 0.125147 0.525991
0.000938863 0.0127206 0.125147 0.525842
0.000963466 0.0127206 0.125147 0.525697
0.000988089 0.0127205 0.125147 0.52556
0.00101271 0.0127205 0.125147 0.52541
0.00103734 0.0127204 0.125147 0.525257
0.00106198 0.0127204 0.125147 0.525108
0.00108662 0.0127204 0.125147 0.524973
0.00111127 0.0127203 0.125147 0.524821
0.00113593 0.0127203 0.125147 0.524661
0.00116059 0.0127202 0.125147 0.524518
0.00118526 0.0127202 0.125147 0.524365
0.00120992 0.0127202 0.125147 0.524208
0.00123458 0.0127201 0.125147 0.524054
0.00125925 0.0127201 0.125147 0.523896
0.00128391 0.01272 0.125147 0.523737
0.00130857 0.01272 0.125147 0.523576
0.00133324 0.01272 0.125147 0.523421
0.00135788 0.0127199 0.125147 0.523262
0.00138252 0.0127199 0.125147 0.523101
0.00140717 0.0127198 0.125147 0.522941
0.00143181 0.0127198 0.125147 0.522783
0.00145645 0.0127198 0.125147 0.522621
0.0014811 0.0127197 0.125147 0.522458
0.00150574 0.0127197 0.125147 0.522294
0.00153038 0.0127196 0.125147 0.522133
0.00155502 0.0127196 0.125147 0.521969
0.00157967 0.0127195 0.125147 0.521804
0.00160429 0.0127195 0.125147 0.52164
0.00162891 0.0127195 0.125147 0.521479
0.00165354 0.0127194 0.125147 0.521315
0.00167816 0.0127194 0.125147 0.521147
0.00170278 0.0127193 0.125147 0.520978
0.0017274 0.0127193 0.125147 0.520808
0.00175201 0.0127193 0.125147 0.520639
0.00177661 0.0127192 0.125147 0.520467
0.00180121 0.0127192 0.125147 0.5203
0.00182581 0.0127191 0.125147 0.520136
0.00185041 0.0127191 0.125147 0.519969
0.00187502 0.0127191 0.125147 0.519798
0.00189962 0.012719 0.125147 0.519632
0.0019242 0.012719 0.125147 0.519465
0.00194878 0.0127189 0.125147 0.519296
0.00197336 0.0127189 0.125147 0.519122
0.00199795 0.0127189 0.125147 0.518955
0.00202253 0.0127188 0.125147 0.518789
0.00204711 0.0127188 0.125147 0.518618
0.00207167 0.0127187 0.125147 0.518445
0.00209623 0.0127187 0.125147 0.518278
0.00212079 0.0127187 0.125147 0.518113
0.00214535 0.0127186 0.125147 0.517939
0.00216991 0.0127186 0.125147 0.517767
0.00219447 0.0127186 0.125147 0.517602
0.00221901 0.0127185 0.125147 0.517437
0.00224355 0.0127185 0.125147 0.517262
0.00226809 0.0127184 0.125147 0.51709
0.00229263 0.0127184 0.125147 0.516925
0.00231715 0.0127184 0.125147 0.516758
0.00234167 0.0127183 0.125147 0.516583
0.00236619 0.0127183 0.125147 0.516413
0.00239071 0.0127182 0.125147 0.516247
0.00241521 0.0127182 0.125147 0.516078
0.00243971 0.0127182 0.125147 0.515899
0.00246421 0.0127181 0.125147 0.515728
0.00248871 0.0127181 0.125147 0.515561
0.00251318 0.012718 0.125147 0.515391
0.00253766 0.012718 0.125147 0.515215
0.00256214 0.012718 0.125147 0.515048
0.00258662 0.0127179 0.125147 0.514882
0.00261107 0.0127179 0.125147 0.514714
0.00263553 0.0127178 0.125147 0.514541
0.00265997 0.0127178 0.125147 0.514373
0.0026844 0.0127178 0.125147 0.514204
0.00270884 0.0127177 0.125147 0.514036
0.00273327 0.0127177 0.125147 0.513864
