t ke gpe dissipation
0 1.588e-05 1.59292e-05 0.00111874
7.97456e-06 1.67479e-05 1.58706e-05 0.000868895
2.56754e-05 1.68483e-05 1.58573e-05 0.000527774
4.39246e-05 1.68791e-05 1.58552e-05 0.000417005
6.26221e-05 1.68933e-05 1.58543e-05 0.000371925
8.16736e-05 1.69163e-05 1.58521e-05 0.000343708
0.000101057 1.69233e-05 1.58508e-05 0.000324127
0.000120734 1.69181e-05 1.58508e-05 0.000308283
0.000140676 1.69131e-05 1.58508e-05 0.000295608
0.000160864 1.69096e-05 1.58508e-05 0.000285349
0.000181277 1.6905e-05 1.58508e-05 0.000274193
0.000201893 1.69014e-05 1.58508e-05 0.000266605
0.000222647 1.6897e-05 1.58508e-05 0.000257473
0.000243513 1.68935e-05 1.58508e-05 0.000251212
0.000264463 1.68895e-05 1.58508e-05 0.000244861
0.000285499 1.68853e-05 1.58508e-05 0.00023796
0.000306606 1.68815e-05 1.58508e-05 0.000231824
0.000327771 1.68775e-05 1.58508e-05 0.000226848
0.000349009 1.68736e-05 1.58508e-05 0.000221634
0.000370291 1.68699e-05 1.58508e-05 0.000215663
0.000391631 1.68658e-05 1.58508e-05 0.000210821
0.000413016 1.68615e-05 1.58508e-05 0.000205738
0.000434431 1.68572e-05 1.58508e-05 0.000200417
0.00045589 1.68534e-05 1.58509e-05 0.000195475
0.000477379 1.68494e-05 1.58509e-05 0.000191127
0.000498899 1.68455e-05 1.58509e-05 0.000186748
0.000520448 1.68415e-05 1.58509e-05 0.000182133
0.000542028 1.68378e-05 1.58509e-05 0.000178006
0.000563623 1.68342e-05 1.58509e-05 0.000174551
0.000585248 1.68304e-05 1.58509e-05 0.000171066
0.000606889 1.68268e-05 1.58509e-05 0.000167441
0.000628545 1.68234e-05 1.58509e-05 0.000164197
0.000650216 1.682e-05 1.58509e-05 0.000161439
0.000671902 1.68164e-05 1.58509e-05 0.000158516
0.000693604 1.68131e-05 1.58509e-05 0.000155525
0.000715322 1.68099e-05 1.58509e-05 0.000152815
0.000737055 1.68067e-05 1.5851e-05 0.000150461
0.000758788 1.68033e-05 1.5851e-05 0.000147735
0.000780536 1.68002e-05 1.5851e-05 0.000144923
0.000802284 1.67972e-05 1.5851e-05 0.0001424
0.000824048 1.67941e-05 1.5851e-05 0.00014024
0.000845812 1.67911e-05 1.5851e-05 0.000137907
0.000867592 1.67881e-05 1.5851e-05 0.000135402
0.000889387 1.67853e-05 1.5851e-05 0.000133199
0.000911182 1.67826e-05 1.5851e-05 0.000131259
0.000933008 1.67796e-05 1.5851e-05 0.000129094
0.00095485 1.67769e-05 1.58511e-05 0.000126921
0.000976724 1.67743e-05 1.58511e-05 0.000125071
0.000998614 1.67716e-05 1.58511e-05 0.000123453
0.00102052 1.67688e-05 1.58511e-05 0.000121648
0.00104244 1.67663e-05 1.58511e-05 0.000119829
0.00106438 1.67637e-05 1.58511e-05 0.000118204
