t ke gpe dissipation
0 0.0142574 0.125147 0.545095
7.97456e-06 0.0142531 0.125147 0.57283
2.56754e-05 0.014253 0.125147 0.591384
4.39246e-05 0.014253 0.125147 0.592484
6.26221e-05 0.0142529 0.125147 0.593656
8.16736e-05 0.0142529 0.125147 0.594212
0.000101057 0.0142528 0.125147 0.594303
0.000120734 0.0142528 0.125147 0.594267
0.000140676 0.0142527 0.125147 0.594201
0.000160864 0.0142527 0.125147 0.594147
0.000181277 0.0142526 0.125147 0.594054
0.000201893 0.0142526 0.125147 0.593995
0.000222647 0.0142526 0.125147 0.593868
0.000243513 0.0142525 0.125147 0.593774
0.000264463 0.0142525 0.125147 0.593663
0.000285499 0.0142524 0.125147 0.593536
0.000306606 0.0142524 0.125147 0.593439
0.000327771 0.0142523 0.125147 0.593347
0.000349009 0.0142523 0.125147 0.593233
0.000370291 0.0142523 0.125147 0.593103
0.000391631 0.0142522 0.125147 0.593015
0.000413016 0.0142522 0.125147 0.592908
0.000434431 0.0142521 0.125147 0.592791
0.00045589 0.0142521 0.125147 0.592688
0.000477379 0.014252 0.125147 0.592591
0.000498899 0.014252 0.125147 0.592482
0.000520448 0.014252 0.125147 0.592368
0.000542028 0.0142519 0.125147 0.592266
0.000563623 0.0142519 0.125147 0.592156
0.000585248 0.0142518 0.125147 0.592028
0.000606889 0.0142518 0.125147 0.591897
0.000628545 0.0142517 0.125147 0.591781
0.000650216 0.0142517 0.125147 0.591665
0.000671902 0.0142517 0.125147 0.591538
0.000693604 0.0142516 0.125147 0.59141
0.000715322 0.0142516 0.125147 0.591295
0.000737055 0.0142515 0.125147 0.591177
0.000758788 0.0142515 0.125147 0.591051
0.000780536 0.0142515 0.125147 0.590926
0.000802284 0.0142514 0.125147 0.590811
0.000824048 0.0142514 0.125147 0.590685
0.000845812 0.0142513 0.125147 0.590554
0.000867592 0.0142513 0.125147 0.590426
0.000889387 0.0142512 0.125147 0.590308
0.000911182 0.0142512 0.125147 0.590186
0.000933008 0.0142512 0.125147 0.590056
0.00095485 0.0142511 0.125147 0.589925
0.000976724 0.0142511 0.125147 0.589802
0.000998614 0.014251 0.125147 0.589671
0.00102052 0.014251 0.125147 0.589533
0.00104244 0.014251 0.125147 0.589398
0.00106438 0.0142509 0.125147 0.589271
0.00108633 0.0142509 0.125147 0.58914
0.0011083 0.0142508 0.125147 0.589006
0.00113029 0.0142508 0.125147 0.588873
0.00115227 0.0142508 0.125147 0.588745
0.00117427 0.0142507 0.125147 0.588612
0.00119627 0.0142507 0.125147 0.588474
0.00121829 0.0142506 0.125147 0.588338
0.00124031 0.0142506 0.125147 0.588206
0.00126234 0.0142505 0.125147 0.588067
0.00128437 0.0142505 0.125147 0.587929
0.00130642 0.0142505 0.125147 0.587791
0.00132847 0.0142504 0.125147 0.587658
0.00135052 0.0142504 0.125147 0.587519
0.00137259 0.0142503 0.125147 0.587379
0.00139466 0.0142503 0.125147 0.587241
0.00141672 0.0142503 0.125147 0.587106
0.00143879 0.0142502 0.125147 0.586962
0.00146085 0.0142502 0.125147 0.586822
0.00148294 0.0142501 0.125147 0.586684
0.00150502 0.0142501 0.125147 0.586548
0.0015271 0.0142501 0.125147 0.586406
0.00154918 0.01425 0.125147 0.586266
0.00157127 0.01425 0.125147 0.586126
0.00159335 0.0142499 0.125147 0.585988
0.00161543 0.0142499 0.125147 0.585844
0.00163751 0.0142499 0.125147 0.585705
0.00165961 0.0142498 0.125147 0.585565
0.00168171 0.0142498 0.125147 0.585427
0.00170381 0.0142497 0.125147 0.585282
0.00172591 0.0142497 0.125147 0.58514
0.00174801 0.0142497 0.125147 0.584996
