t ke gpe dissipation
0 0.00865141 0.125147 0.304669
8.40861e-06 0.00864907 0.125147 0.321388
2.67752e-05 0.00864903 0.125147 0.334376
4.66373e-05 0.008649 0.125147 0.3373
6.77635e-05 0.00864896 0.125147 0.338624
9.00365e-05 0.00864894 0.125147 0.339143
0.00011336 0.0086489 0.125147 0.339413
0.000137628 0.00864887 0.125147 0.339518
0.00016278 0.00864884 0.125147 0.339512
0.000188794 0.00864881 0.125147 0.339488
0.000215594 0.00864878 0.125147 0.339387
0.000243107 0.00864874 0.125147 0.339269
0.00027127 0.00864871 0.125147 0.339118
0.000300034 0.00864868 0.125147 0.338946
0.000329342 0.00864864 0.125147 0.338787
0.00035916 0.00864861 0.125147 0.338603
0.000389415 0.00864857 0.125147 0.338425
0.000420092 0.00864854 0.125147 0.338222
0.000451139 0.0086485 0.125147 0.338023
0.000482502 0.00864846 0.125147 0.337814
0.000514189 0.00864843 0.125147 0.337578
0.000546172 0.00864839 0.125147 0.337355
0.00057839 0.00864836 0.125147 0.337119
0.000610847 0.00864832 0.125147 0.336862
0.000643511 0.00864829 0.125147 0.336595
0.000676386 0.00864825 0.125147 0.336342
0.000709438 0.00864821 0.125147 0.336076
0.000742635 0.00864818 0.125147 0.335803
0.000775976 0.00864814 0.125147 0.335526
0.000809464 0.0086481 0.125147 0.33525
0.000843063 0.00864807 0.125147 0.334974
0.000876773 0.00864803 0.125147 0.334694
0.000910597 0.00864799 0.125147 0.334399
0.000944495 0.00864796 0.125147 0.334116
0.000978508 0.00864792 0.125147 0.333828
0.0010126 0.00864788 0.125147 0.33353
0.00104676 0.00864785 0.125147 0.333237
0.00108097 0.00864781 0.125147 0.332939
0.00111525 0.00864778 0.125147 0.332644
0.00114957 0.00864774 0.125147 0.33235
0.00118394 0.0086477 0.125147 0.332049
0.00121838 0.00864767 0.125147 0.331747
0.00125286 0.00864763 0.125147 0.331451
0.00128737 0.00864759 0.125147 0.331151
0.00132193 0.00864756 0.125147 0.330849
0.00135649 0.00864752 0.125147 0.330552
0.00139109 0.00864749 0.125147 0.330256
0.00142573 0.00864745 0.125147 0.329956
0.00146037 0.00864741 0.125147 0.329658
0.00149505 0.00864738 0.125147 0.329362
0.00152977 0.00864734 0.125147 0.329068
0.00156449 0.00864731 0.125147 0.328771
0.00159925 0.00864727 0.125147 0.328473
0.00163401 0.00864724 0.125147 0.328179
0.00166877 0.0086472 0.125147 0.327888
0.00170357 0.00864716 0.125147 0.327593
0.00173837 0.00864713 0.125147 0.327295
0.00177317 0.00864709 0.125147 0.327003
0.00180802 0.00864706 0.125147 0.326714
0.00184286 0.00864702 0.125147 0.326423
0.0018777 0.00864699 0.125147 0.32613
0.00191259 0.00864695 0.125147 0.325843
0.00194747 0.00864692 0.125147 0.325558
0.00198235 0.00864688 0.125147 0.325269
0.00201724 0.00864685 0.125147 0.324978
0.00205216 0.00864681 0.125147 0.324698
0.00208709 0.00864678 0.125147 0.324421
0.00212202 0.00864674 0.125147 0.324139
0.00215694 0.00864671 0.125147 0.323853
0.00219187 0.00864667 0.125147 0.323579
0.00222679 0.00864664 0.125147 0.323309
0.00226176 0.0086466 0.125147 0.323032
0.00229673 0.00864657 0.125147 0.322751
0.0023317 0.00864653 0.125147 0.322483
0.00236666 0.0086465 0.125147 0.322218
0.00240163 0.00864646 0.125147 0.321944
0.0024366 0.00864643 0.125147 0.321663
0.00247161 0.00864639 0.125147 0.321397
0.00250662 0.00864636 0.125147 0.321134
0.00254163 0.00864632 0.125147 0.320857
0.00257664 0.00864629 0.125147 0.32059
0.00261165 0.00864625 0.125147 0.320327
0.00264666 0.00864622 0.125147 0.320063
0.00268167 0.00864618 0.125147 0.3198
0.00271668 0.00864615 0.125147 0.319539
0.00275173 0.00864612 0.125147 0.319281
0.00278679 0.00864608 0.125147 0.319021
0.00282184 0.00864605 0.125147 0.318763
0.00285689 0.00864601 0.125147 0.318505
0.00289195 0.00864598 0.125147 0.318247
0.002927 0.00864594 0.125147 0.31799
0.00296205 0.00864591 0.125147 0.317733
0.00299715 0.00864588 0.125147 0.317478
0.00303225 0.00864584 0.125147 0.317224
0.00306734 0.00864581 0.125147 0.316971
0.00310244 0.00864577 0.125147 0.316723
0.00313754 0.00864574 0.125147 0.316477
