t ke gpe dissipation
0 0.0175774 0.125147 0.670711
6.2934e-06 0.017572 0.125147 0.701305
2.05469e-05 0.0175719 0.125147 0.719771
3.52639e-05 0.0175719 0.125147 0.721458
5.0402e-05 0.0175718 0.125147 0.722663
6.59165e-05 0.0175717 0.125147 0.723765
8.17782e-05 0.0175717 0.125147 0.724075
9.79526e-05 0.0175717 0.125147 0.724132
0.000114409 0.0175716 0.125147 0.724118
0.000131131 0.0175716 0.125147 0.72403
0.000148089 0.0175715 0.125147 0.723933
0.000165263 0.0175715 0.125147 0.723801
0.000182619 0.0175715 0.125147 0.723682
0.000200151 0.0175714 0.125147 0.723531
0.000217823 0.0175714 0.125147 0.72342
0.000235627 0.0175713 0.125147 0.723285
0.000253544 0.0175713 0.125147 0.723143
0.000271566 0.0175712 0.125147 0.723004
0.000289682 0.0175712 0.125147 0.722891
0.000307861 0.0175712 0.125147 0.722766
0.000326095 0.0175711 0.125147 0.722617
0.000344371 0.0175711 0.125147 0.72248
0.000362691 0.017571 0.125147 0.722365
0.000381055 0.017571 0.125147 0.722242
0.000399451 0.0175709 0.125147 0.722127
0.00041788 0.0175709 0.125147 0.722013
0.000436331 0.0175708 0.125147 0.721892
0.000454816 0.0175708 0.125147 0.721776
0.000473323 0.0175708 0.125147 0.721662
0.000491852 0.0175707 0.125147 0.721551
0.000510392 0.0175707 0.125147 0.721423
0.000528954 0.0175706 0.125147 0.721311
0.000547528 0.0175706 0.125147 0.721198
0.000566113 0.0175705 0.125147 0.72107
0.000584709 0.0175705 0.125147 0.720952
0.000603317 0.0175705 0.125147 0.720837
0.000621936 0.0175704 0.125147 0.720717
0.000640566 0.0175704 0.125147 0.720592
0.000659196 0.0175703 0.125147 0.720475
0.000677838 0.0175703 0.125147 0.72036
0.000696479 0.0175702 0.125147 0.720237
0.000715132 0.0175702 0.125147 0.720114
0.000733785 0.0175702 0.125147 0.72
0.000752438 0.0175701 0.125147 0.719887
0.000771091 0.0175701 0.125147 0.719765
0.000789756 0.01757 0.125147 0.719644
0.00080842 0.01757 0.125147 0.719532
0.000827084 0.0175699 0.125147 0.719423
0.000845749 0.0175699 0.125147 0.719301
0.000864413 0.0175699 0.125147 0.719182
0.000883077 0.0175698 0.125147 0.719069
0.000901742 0.0175698 0.125147 0.718955
0.000920406 0.0175697 0.125147 0.718831
0.000939071 0.0175697 0.125147 0.718714
0.000957735 0.0175696 0.125147 0.718598
0.000976399 0.0175696 0.125147 0.718482
0.000995064 0.0175696 0.125147 0.718356
0.00101373 0.0175695 0.125147 0.718238
0.00103239 0.0175695 0.125147 0.71812
0.00105106 0.0175694 0.125147 0.718004
0.00106972 0.0175694 0.125147 0.717879
0.0010884 0.0175693 0.125147 0.717763
0.00110707 0.0175693 0.125147 0.717646
0.00112575 0.0175693 0.125147 0.717531
0.00114442 0.0175692 0.125147 0.717408
0.00116311 0.0175692 0.125147 0.717288
0.0011818 0.0175691 0.125147 0.717171
0.00120049 0.0175691 0.125147 0.717052
0.00121917 0.0175691 0.125147 0.716927
0.00123786 0.017569 0.125147 0.716806
0.00125656 0.017569 0.125147 0.716691
0.00127526 0.0175689 0.125147 0.716569
0.00129396 0.0175689 0.125147 0.716446
0.00131266 0.0175688 0.125147 0.716324
0.00133137 0.0175688 0.125147 0.716214
0.00135008 0.0175688 0.125147 0.716087
0.00136879 0.0175687 0.125147 0.71596
0.0013875 0.0175687 0.125147 0.715847
0.00140621 0.0175686 0.125147 0.715731
0.00142494 0.0175686 0.125147 0.715605
0.00144366 0.0175686 0.125147 0.715481
0.00146238 0.0175685 0.125147 0.715367
0.0014811 0.0175685 0.125147 0.71525
0.00149984 0.0175684 0.125147 0.715127
