t ke gpe dissipation
0 1.588e-05 1.59292e-05 0.00112192
6.44831e-06 1.67708e-05 1.58707e-05 0.000905444
2.06049e-05 1.6868e-05 1.58575e-05 0.000551284
3.54689e-05 1.69134e-05 1.58545e-05 0.000447185
5.09523e-05 1.6928e-05 1.58536e-05 0.00039663
6.6968e-05 1.6942e-05 1.58517e-05 0.000365539
8.34583e-05 1.69402e-05 1.58508e-05 0.000344036
0.000100342 1.69367e-05 1.58508e-05 0.000327849
0.000117589 1.69321e-05 1.58508e-05 0.000315256
0.000135168 1.69281e-05 1.58508e-05 0.000302557
0.00015304 1.69248e-05 1.58508e-05 0.000294494
0.000171183 1.69195e-05 1.58508e-05 0.000282596
0.000189573 1.69161e-05 1.58508e-05 0.000275883
0.000208183 1.69113e-05 1.58508e-05 0.000266432
0.00022694 1.69076e-05 1.58508e-05 0.000259098
0.000245822 1.69045e-05 1.58508e-05 0.000253951
0.000264819 1.69003e-05 1.58508e-05 0.000247988
0.000283922 1.68963e-05 1.58508e-05 0.000241002
0.000303132 1.68927e-05 1.58508e-05 0.000235136
0.000322426 1.6889e-05 1.58508e-05 0.000230781
0.000341792 1.68854e-05 1.58508e-05 0.000226002
0.000361231 1.68818e-05 1.58508e-05 0.000219786
0.000380743 1.68783e-05 1.58508e-05 0.000215664
0.000400305 1.68742e-05 1.58508e-05 0.00021077
0.000419917 1.68701e-05 1.58509e-05 0.000205412
0.00043958 1.68666e-05 1.58509e-05 0.00020067
0.000459292 1.68629e-05 1.58509e-05 0.000196767
0.000479042 1.6859e-05 1.58509e-05 0.000192554
0.000498818 1.68553e-05 1.58509e-05 0.000187824
0.000518632 1.68518e-05 1.58509e-05 0.000183779
0.000538471 1.68483e-05 1.58509e-05 0.000180561
0.000558336 1.68446e-05 1.58509e-05 0.000177002
0.000578227 1.68411e-05 1.58509e-05 0.000173157
0.000598131 1.68379e-05 1.58509e-05 0.000169963
0.000618048 1.68346e-05 1.58509e-05 0.000167446
0.000637991 1.68312e-05 1.58509e-05 0.000164433
0.000657946 1.6828e-05 1.58509e-05 0.000161153
0.000677915 1.68249e-05 1.58509e-05 0.000158525
0.000697897 1.68218e-05 1.5851e-05 0.000156486
0.000717878 1.68185e-05 1.5851e-05 0.000153777
0.000737873 1.68155e-05 1.5851e-05 0.00015082
0.000757881 1.68128e-05 1.5851e-05 0.000148406
0.000777889 1.68099e-05 1.5851e-05 0.000146515
0.000797897 1.68068e-05 1.5851e-05 0.000143954
0.000817918 1.6804e-05 1.5851e-05 0.000141327
0.000837939 1.68014e-05 1.5851e-05 0.000139235
0.00085796 1.67985e-05 1.5851e-05 0.000137336
0.000877995 1.67958e-05 1.5851e-05 0.000135229
0.000898029 1.67931e-05 1.5851e-05 0.00013295
0.000918063 1.67906e-05 1.58511e-05 0.000131044
0.000938098 1.6788e-05 1.58511e-05 0.000129364
0.000958132 1.67854e-05 1.58511e-05 0.000127431
0.000978166 1.67829e-05 1.58511e-05 0.000125473
0.000998214 1.67805e-05 1.58511e-05 0.000123882
0.00101826 1.6778e-05 1.58511e-05 0.000122459
0.00103831 1.67756e-05 1.58511e-05 0.000120779
0.00105837 1.67732e-05 1.58511e-05 0.000119046
0.00107843 1.67709e-05 1.58511e-05 0.000117555
0.00109849 1.67686e-05 1.58512e-05 0.00011611
0.00111855 1.67663e-05 1.58512e-05 0.000114477
0.00113863 1.67641e-05 1.58512e-05 0.000112898
0.0011587 1.67619e-05 1.58512e-05 0.000111563
0.00117878 1.67597e-05 1.58512e-05 0.000110324
0.00119885 1.67575e-05 1.58512e-05 0.000108958
0.00121894 1.67553e-05 1.58512e-05 0.000107668
0.00123902 1.67533e-05 1.58512e-05 0.000106581
0.00125911 1.67512e-05 1.58513e-05 0.000105486
0.00127921 1.67491e-05 1.58513e-05 0.000104291
0.00129931 1.67471e-05 1.58513e-05 0.000103166
0.00131942 1.67452e-05 1.58513e-05 0.00010215
0.00133952 1.67431e-05 1.58513e-05 0.000101076
0.00135963 1.67412e-05 1.58513e-05 9.99234e-05
0.00137975 1.67393e-05 1.58513e-05 9.88853e-05
0.00139986 1.67374e-05 1.58514e-05 9.7945e-05
0.00141998 1.67356e-05 1.58514e-05 9.69619e-05
0.0014401 1.67336e-05 1.58514e-05 9.59418e-05
0.00146023 1.67319e-05 1.58514e-05 9.50008e-05
0.00148036 1.67301e-05 1.58514e-05 9.40802e-05
