t ke gpe dissipation
0 1.58797e-05 1.59291e-05 0.00111664
8.75785e-06 1.67161e-05 1.58705e-05 0.00083973
2.81263e-05 1.6815e-05 1.58571e-05 0.000515735
4.79749e-05 1.68466e-05 1.58552e-05 0.000405409
6.82623e-05 1.68614e-05 1.58543e-05 0.000361586
8.89535e-05 1.68879e-05 1.58517e-05 0.000333914
0.000109994 1.68898e-05 1.58508e-05 0.000315033
0.000131367 1.68834e-05 1.58508e-05 0.000299595
0.000153037 1.68788e-05 1.58508e-05 0.000287215
0.000174983 1.68743e-05 1.58508e-05 0.000276527
0.000197163 1.68699e-05 1.58508e-05 0.000266369
0.000219568 1.68648e-05 1.58508e-05 0.000257806
0.000242185 1.68603e-05 1.58508e-05 0.000250169
0.000264985 1.68567e-05 1.58508e-05 0.000243345
0.000287954 1.68522e-05 1.58508e-05 0.000236762
0.000311077 1.68475e-05 1.58508e-05 0.000230048
0.000334339 1.68437e-05 1.58508e-05 0.000224336
0.000357725 1.68394e-05 1.58508e-05 0.000218652
0.000381235 1.68349e-05 1.58508e-05 0.000212646
0.000404835 1.68305e-05 1.58508e-05 0.000206924
0.000428544 1.6826e-05 1.58508e-05 0.000201822
0.000452326 1.68211e-05 1.58509e-05 0.000196208
0.0004762 1.68169e-05 1.58509e-05 0.000191015
0.00050013 1.68125e-05 1.58509e-05 0.000186219
0.000524134 1.68081e-05 1.58509e-05 0.000181554
0.000548214 1.68038e-05 1.58509e-05 0.000176942
0.000572351 1.67997e-05 1.58509e-05 0.000172716
0.000596544 1.67956e-05 1.58509e-05 0.000169116
0.000620776 1.67916e-05 1.58509e-05 0.000165687
0.000645066 1.67875e-05 1.58509e-05 0.000161903
0.000669394 1.67838e-05 1.58509e-05 0.000158368
0.000693761 1.67801e-05 1.58509e-05 0.000155631
0.000718167 1.67762e-05 1.58509e-05 0.00015307
0.000742593 1.67724e-05 1.58509e-05 0.000149609
0.000767057 1.6769e-05 1.5851e-05 0.000146607
0.000791542 1.67654e-05 1.5851e-05 0.000143734
0.000816046 1.67619e-05 1.5851e-05 0.000141238
0.000840569 1.67584e-05 1.5851e-05 0.000138494
