t ke gpe dissipation
0 1.6578e-05 2.8317e-05 0.0013301
9.17523e-05 1.97183e-05 1.80607e-05 0.000680416
0.000247544 2.04396e-05 1.78816e-05 0.000571505
0.000399516 2.24875e-05 1.63758e-05 0.000571563
0.000489722 2.34766e-05 1.60513e-05 0.000608334
0.000579929 2.41098e-05 1.59097e-05 0.000596756
0.000670668 2.44506e-05 1.58557e-05 0.000547055
0.000762498 2.44412e-05 1.58489e-05 0.000480759
0.000855448 2.44679e-05 1.58406e-05 0.000434538
0.000945639 2.4465e-05 1.58361e-05 0.000398665
0.00103583 2.44016e-05 1.5836e-05 0.000373623
0.00112341 2.43366e-05 1.5836e-05 0.000352543
0.00121099 2.42755e-05 1.5836e-05 0.000334908
0.00129856 2.4215e-05 1.5836e-05 0.000320368
0.00138614 2.41591e-05 1.58361e-05 0.000306941
0.00147372 2.41011e-05 1.58361e-05 0.000294728
0.00156129 2.40459e-05 1.58361e-05 0.000283583
0.00164887 2.39919e-05 1.58361e-05 0.000273316
0.00173645 2.39394e-05 1.58361e-05 0.00026417
0.00182403 2.38896e-05 1.58362e-05 0.000255434
0.0019116 2.38399e-05 1.58362e-05 0.000247498
0.00199918 2.37919e-05 1.58362e-05 0.000240128
0.00208676 2.37452e-05 1.58362e-05 0.000233116
0.00217434 2.36995e-05 1.58363e-05 0.00022673
0.00226191 2.3655e-05 1.58363e-05 0.00022072
0.00234949 2.36117e-05 1.58363e-05 0.000215017
0.00243707 2.35692e-05 1.58364e-05 0.000209598
0.00252465 2.35281e-05 1.58364e-05 0.000204539
0.00261222 2.34881e-05 1.58365e-05 0.000199713
0.0026998 2.34487e-05 1.58365e-05 0.000195102
0.00278738 2.34105e-05 1.58365e-05 0.000190762
0.00287495 2.33731e-05 1.58366e-05 0.000186537
0.00296253 2.33368e-05 1.58366e-05 0.000182524
0.00305011 2.33011e-05 1.58367e-05 0.000178715
0.00313769 2.32663e-05 1.58367e-05 0.000175044
0.00322526 2.32322e-05 1.58368e-05 0.000171461
0.00331284 2.31986e-05 1.58368e-05 0.000168091
0.00340042 2.31658e-05 1.58369e-05 0.000164794
0.003488 2.31336e-05 1.5837e-05 0.000161642
0.00357557 2.31017e-05 1.5837e-05 0.000158617
0.00366315 2.30711e-05 1.58371e-05 0.000155707
0.00375073 2.30407e-05 1.58371e-05 0.00015289
0.0038383 2.30108e-05 1.58372e-05 0.000150174
0.00392588 2.29817e-05 1.58373e-05 0.000147542
0.00401346 2.29528e-05 1.58373e-05 0.000145071
0.00410104 2.29244e-05 1.58374e-05 0.000142668
0.00418861 2.28964e-05 1.58375e-05 0.000140322
0.00427619 2.2869e-05 1.58376e-05 0.000138085
0.00436377 2.28422e-05 1.58376e-05 0.00013591
0.00445135 2.28155e-05 1.58377e-05 0.00013379
0.00453892 2.27895e-05 1.58378e-05 0.000131758
0.00462679 2.27637e-05 1.58379e-05 0.000129745
0.00471613 2.27376e-05 1.58379e-05 0.000127831
0.00480669 2.27125e-05 1.5838e-05 0.000125896
0.0048985 2.26867e-05 1.58381e-05 0.000123943
0.00499129 2.26615e-05 1.58382e-05 0.000122151
0.00508507 2.26359e-05 1.58383e-05 0.000120339
0.00517987 2.26105e-05 1.58384e-05 0.000118519
0.00527537 2.25855e-05 1.58385e-05 0.000116789
0.00537157 2.25603e-05 1.58386e-05 0.000115063
0.00546849 2.25356e-05 1.58387e-05 0.000113499
0.00556615 2.25111e-05 1.58388e-05 0.000111825
0.00566418 2.24865e-05 1.58389e-05 0.00011019
0.00576297 2.24627e-05 1.5839e-05 0.000108637
0.00586214 2.24388e-05 1.58391e-05 0.000107114
