t ke gpe dissipation
0 1.588e-05 1.59292e-05 0.00112192
6.2934e-06 1.68012e-05 1.58707e-05 0.00092459
2.05469e-05 1.68985e-05 1.58575e-05 0.0005564
3.52639e-05 1.69434e-05 1.58545e-05 0.000448602
5.0402e-05 1.69583e-05 1.58536e-05 0.000397693
6.59165e-05 1.69724e-05 1.58517e-05 0.000367011
8.17782e-05 1.69694e-05 1.58508e-05 0.000345655
9.79526e-05 1.69675e-05 1.58508e-05 0.000330385
0.000114409 1.69629e-05 1.58508e-05 0.000316962
0.000131131 1.69595e-05 1.58508e-05 0.000306066
0.000148089 1.69562e-05 1.58508e-05 0.00029599
0.000165263 1.69519e-05 1.58508e-05 0.000286747
0.000182619 1.69477e-05 1.58508e-05 0.000278278
0.000200151 1.69438e-05 1.58508e-05 0.00027034
0.000217823 1.69399e-05 1.58508e-05 0.000262965
0.000235627 1.69366e-05 1.58508e-05 0.00025656
0.000253544 1.69333e-05 1.58508e-05 0.000250673
0.000271566 1.69294e-05 1.58508e-05 0.000245107
0.000289682 1.69257e-05 1.58508e-05 0.000239467
0.000307861 1.69221e-05 1.58508e-05 0.000233692
0.000326095 1.69188e-05 1.58508e-05 0.000228778
0.000344371 1.69158e-05 1.58508e-05 0.000224597
0.000362691 1.69125e-05 1.58508e-05 0.000219458
0.000381055 1.69092e-05 1.58508e-05 0.000214761
0.000399451 1.69055e-05 1.58509e-05 0.000210476
0.00041788 1.69016e-05 1.58509e-05 0.000206006
0.000436331 1.6898e-05 1.58509e-05 0.000201112
0.000454816 1.68948e-05 1.58509e-05 0.000196878
0.000473323 1.68913e-05 1.58509e-05 0.000193355
0.000491852 1.68877e-05 1.58509e-05 0.000189394
0.000510392 1.68843e-05 1.58509e-05 0.000184945
0.000528954 1.68813e-05 1.58509e-05 0.000181798
0.000547528 1.68779e-05 1.58509e-05 0.000178367
0.000566113 1.68746e-05 1.58509e-05 0.000174839
0.000584709 1.68716e-05 1.58509e-05 0.000171707
0.000603317 1.68686e-05 1.58509e-05 0.000169061
0.000621936 1.68655e-05 1.58509e-05 0.000166291
0.000640566 1.68624e-05 1.58509e-05 0.000163285
0.000659196 1.68596e-05 1.58509e-05 0.000160663
0.000677838 1.68567e-05 1.5851e-05 0.00015844
0.000696479 1.68536e-05 1.5851e-05 0.000156011
0.000715132 1.68508e-05 1.5851e-05 0.000153376
0.000733785 1.68481e-05 1.5851e-05 0.000151027
0.000752438 1.68454e-05 1.5851e-05 0.000148922
0.000771091 1.68426e-05 1.5851e-05 0.000146582
0.000789756 1.684e-05 1.5851e-05 0.000144169
0.00080842 1.68375e-05 1.5851e-05 0.000142086
0.000827084 1.68349e-05 1.5851e-05 0.000140225
0.000845749 1.68322e-05 1.5851e-05 0.000138112
0.000864413 1.68297e-05 1.5851e-05 0.000135962
0.000883077 1.68274e-05 1.58511e-05 0.000134101
0.000901742 1.68249e-05 1.58511e-05 0.000132437
0.000920406 1.68224e-05 1.58511e-05 0.000130496
0.000939071 1.68201e-05 1.58511e-05 0.000128584
0.000957735 1.68179e-05 1.58511e-05 0.000126967
0.000976399 1.68155e-05 1.58511e-05 0.000125497
0.000995064 1.68131e-05 1.58511e-05 0.000123823
